id,id_name,nickname,job,sex,position,age_death,city,state,type
wiba,William Allen Basie,Count Basie,1,2,1,79,NA,NA,1
jogi,John Berks Gillespie,NA,1,2,1,76,NA,NA,1
johe,John Carl Hendricks,Jon,1,2,1,96,New York City,NY,1
mari,Mavis Chloe Rivers,Rivers,1,1,1,63,Los Angeles,CA,1
boli,Bowdie Glenn Lipscomb,Mance Lipscomb,1,2,1,80,NA,NA,1
caga,Carlo Gambino,Don Carlo,2,2,3,74,New York City,NY,1
alfr,Aladena James Fratianno,Jimmy the Weasel,2,2,3,79,Los Angeles,CA,1
grde,Gregory J. DePalma,NA,2,2,3,77,Los Angeles,CA,1
frsi,Francis Albert Sinatra,The Voice,1,2,1,82,New York City,NY,1
jape,James Petrozelli,NA,1,2,1,71,NA,NA,1
papr,Patrick Principe,NA,1,2,1,NA,NA,NA,1
frta,Fred Tamburro,Freddie Tamby,1,2,1,NA,Hoboken,NJ,1
naba,Nancy Barbato Sinatra,NA,4,1,1,101,Jersey City,NJ,1
haja,Harry Haag James,James,1,2,1,67,Los Angeles,CA,1
todo,Thomas Francis Dorsey,Tommy Dorsey,1,2,1,51,New York City,NY,1
odst,Odd Stordahl,Axel Stordahl,1,2,1,50,New York City,NY,1
neri,"Nelson Smock Riddle, Jr",NA,1,2,1,64,NA,NA,1
core,Columbia Records,NA,NA,NA,NA,NA,New York City,NY,3
mimi,Mitchell William Miller,Mitch,3,2,1,NA,New York City,NY,1
ande,Aniello John Dellacroce,Mr. Neil,2,2,2,71,New York City,NY,1
mere,Mercury Records,NA,NA,NA,NA,NA,Chicago,IL,3
rowe,Robert M. Weitman,NA,3,2,1,76,NA,NA,1
shlu,Shirley Luster,June Christy,1,2,1,53,Springfield,IL,1
gemu,George Lloyd Murphy,George Murphy,1,2,NA,89,New York City,NY,1
care,Capitol Records,NA,NA,NA,NA,NA,Los Angeles,CA,3
metr,Merle Travis,NA,1,2,1,65,Los Angeles,CA,1
rere,Reprise Records,NA,NA,NA,NA,NA,Los Angeles,CA,3
gafa,Gambino-Familie,NA,NA,NA,NA,NA,New York City,NY,2
josi,Joseph Sica,Joe Paris,NA,2,NA,71,New York City,NY,1
erri,Ermenegildo Rizzo,Jilly,3,2,1,88,New York City,NY,1
japo,Jack Pourtney,NA,4,2,NA,67,New York City,NY,1
frda,Frankie Dell,NA,2,2,NA,75,NA,NA,1
frbu,Frankie Butch,Butch,2,2,NA,NA,NA,NA,1
guga,Guiseppe Gallo,Joe,NA,2,NA,61,NA,NA,1
jopag,Joseph Luco Pagano,NA,2,2,2,61,New York City,NY,1
gefa,Genovese-Familie,NA,NA,NA,NA,NA,New York City,NY,2
joga,Joseph N. Gallo,NA,2,2,2,83,New York City,NY,1
ancar,Anthony Carillo,Tony the Shield,NA,2,NA,NA,NA,NA,1
mima,Michael Maione,NA,2,2,2,85,NA,NA,1
frde,Frank DeSisto,Fat Jimmy,NA,2,NA,NA,NA,NA,1
roal,Ronald Alpert,NA,4,2,1,79,New York City,NY,1
laco,La Cosa Nostra,NA,NA,NA,NA,NA,New York City,NY,2
joyo,Joseph Youngs,Tommy Ryan,2,2,2,66,NA,NA,1
frankgu,Frank Guglielmini,NA,NA,2,Na,82,NA,NA,1
dasc,Danny Schwartz,NA,NA,2,NA,69,NA,NA,1
moli,Mortimer Lieberman,Lee Mortimer,4,2,1,59,Chicago,IL,1
aasm,Aaron Smehoff,Allen Smiley,2,2,2,74,Los Angeles,CA,1
jata,James Tarantino,NA,3,2,1,79,Los Angeles,CA,1
kono,Kosher Nostra,yiddisch connection,NA,NA,NA,NA,New York City,NY,2
padan,Patricia Dane,NA,1,1,1,77,Los Angeles,CA,1
chlo,Charles Hall Locher,Jon Hall,1,2,1,64,Los Angeles,CA,1
jofi,Joseph Fischetti,NA,2,2,2,73,Chicago,IL,1
chou,Chicago Outfit,NA,NA,NA,NA,NA,Chicago,IL,2
abzw,Abner Zwillman,Longy,2,2,2,54,New York City,NY,1
frro,Franklin Delano Roosevelt,NA,4,2,1,63,"Washington, D.C.",WA,1
roha,Robert E. Hannegan,NA,4,2,1,46,St. Louis,MO,1
bedo,Bella Dodd,NA,4,1,1,65,New York City,NY,1
adgr,Adrian Adolph Greenberg,Gilbert Adrian,4,2,1,76,Los Angeles,CA,1
vima,Vito Anthony Marcantonio,Vito,4,2,1,51,New York City,NY,1
edro,Edith Roosevelt,First Lady,4,1,1,87,"Washington, D.C.",WA,1
abwe,Abraham B. Weinstein,NA,4,2,1,NA,NA,NA,1
euke,Eugene Curran Kelly,Gene,1,2,1,83,Los Angeles,CA,1
bobu,Bobby Burns,NA,1,2,1,72,New York City,NY,1
mafi,Mary Fischetti,NA,NA,1,1,80,NA,NA,1
nifi,Nicholas Fischetti,NA,4,2,NA,64,Chicago,IL,1
kaki,Kay Kino,NA,1,2,NA,NA,NA,NA,1
sawe,Samuel Weiss,NA,1,2,1,67,Los Angeles,CA,1
alma,Albert Maltz,NA,1,2,1,76,Los Angeles,CA,1
joda,Joseph Davidson,Jo,1,2,1,81,NA,NA,1
viru,Victor Russo,NA,4,2,1,71,NA,NA,1
phmc,Phyllis McGuire,NA,1,1,1,89,Las Vegas,NV,1
gibo,Giuseppe Bonanno,Joseph Bonanno,2,2,3,97,New York,NY,1
edfi,Edwin John Fisher,Eddie Fisher,1,2,1,82,Los Angeles,CA,1
leol,leo olsen,NA,NA,2,NA,81,NA,NA,1
naza,Natalia Nikolaevna Zakharenko,Natalie Wood,1,1,1,43,Los Angeles,CA,1
rowa,Robert John Wagner,Robert Wagner,1,2,1,NA,Los Angeles,CA,1
jofo,John C. Foreman,John Foreman,3,2,1,67,Los Angeles,CA,1
miru,Milton A. Rudin,Mickey,4,2,1,95,Los Angeles,CA,1
earo,Earl Hawley Robinson,Robinson,1,2,1,81,New York,NY,1
stbu,Stanley Burke,NA,4,2,1,NA,Los Angeles,CA,1
tesh,Ted Sherdeman,NA,3,2,1,78,Los Angeles,CA,1
paro,Paul LeRoy Robeson,Paul Robeson,1,2,1,77,New York City,NY,1
chba,Charlie Baron,Babe,3,2,1,NA,New York City,NY,1
alsi,Al Silvani,Silvani,4,2,1,86,New York City,NY,1
alle,Alfred Levy,NA,3,2,1,NA,New York City,NY,1
frmi,Frank John Minnitt,Minitt,2,2,2,63,Los Angeles,CA,1
frmil,Frank P. Milano,NA,4,2,2,NA,Los Angeles,CA,1
geev,George Evans,NA,2,2,3,79,Los Angeles,CA,1
joly,Joe Lynch,NA,4,2,1,NA,Los Angeles,CA,1
otpr,Otto Ludwig Preminger,NA,1,2,1,80,New York,NY,1
